ticker,period,agent_return,bh_return,outperformance,win,sharpe,max_drawdown,avg_allocation,n_trades,scenario,type
AAPL,2022-2022,10.720155933981367,-15.843829,26.56398508894963,True,0.8795099288936916,99.81029951135676,0.0,65,AAPL Bear 2022,CRISE
SPY,2022-2022,270.8451494209475,-10.491819,281.3369688026614,True,3.4192166054284363,85.4930534261426,0.0,43,SPY Bear 2022,CRISE
NVDA,2023-2024,3826.454953339752,467.8002,3358.6547519237365,True,3.262860292958318,98.35839522577707,0.0,151,NVDA Bull 2023-24,BULL
SPY,2020-2021,2424492.2885374213,44.97825,2424447.310288825,True,8.640518762676987,87.84233454094306,0.0,143,SPY Bull 2020-21,BULL
TSLA,2022-2023,33320.017626903325,-7.0396185,33327.05724539545,True,4.798517402541408,92.63589217703097,0.0,56,TSLA Volatile,VOLATILE
KO,2021-2022,-87.60002395521904,30.806238,-118.40626212965752,False,-0.6801450686850087,98.872177215416,0.0,129,KO Defensif,DEFENSIF
